n,P(n),H_C(n),F_j(n),Î©_TT(n),Free_Energy_Like
1,2,1.0,0.6931471805599453,1.4426950408889634,0.3068528194400547
2,4,2.0,1.0986122886681098,1.8204784532536746,0.9013877113318902
3,8,3.0,1.3862943611198906,2.1640425613334453,1.6137056388801094
4,16,4.0,1.6094379124341003,2.4853397382384474,2.3905620875658995
5,32,5.0,1.791759469228055,2.7905531327562363,3.208240530771945
6,64,6.0,1.9459101490553132,3.0833900542185044,4.0540898509446865
7,128,7.0,2.0794415416798357,3.3662884287409147,4.920558458320164
8,256,8.0,2.1972245773362196,3.6409569065073493,5.80277542266378
9,512,9.0,2.302585092994046,3.908650337129266,6.697414907005954
10,1024,10.0,2.3978952727983707,4.170323914242463,7.602104727201629
11,2048,11.0,2.4849066497880004,4.426725648200291,8.515093350212
12,4096,12.0,2.5649493574615367,4.67845494301536,9.435050642538464
13,8192,13.0,2.6390573296152584,4.926001361969366,10.360942670384741
14,16384,14.0,2.70805020110221,5.169771222963971,11.29194979889779
15,32768,15.0,2.772588722239781,5.410106403333613,12.227411277760218
16,65536,16.0,2.833213344056216,5.647297981836179,13.166786655943785
17,131072,17.0,2.8903717578961645,5.881596356440291,14.109628242103835
18,262144,18.0,2.9444389791664403,6.113218894111955,15.05556102083356
19,524288,19.0,2.995732273553991,6.342355813211348,16.00426772644601
20,1048576,20.0,3.044522437723423,6.569174775061021,16.955477562276577
